productid,brand,name,price,category,description,comment_count,rating_score
3666420,Hayfene,Nar Ekşisi - 250 ml,"204,04 TL",Gıda ve İçecek,,268,4.9
95325496,Abdurrahman Tatlıcı,Tadıbu,"341,90 TL",Gıda ve İçecek,Kakaolu Fındık Ezme 330 G *3 Ad,14320,4.8
775248523,KARNA LİFE,Kudret Narlı Macun,239 TL,Gıda ve İçecek,"- Bal, Polen Ve Kantaronlu 400 gr",17,4.7
158282412,Züber,Kakaolu Fıstık Ezmesi,"133,25 TL",Gıda ve İçecek,315gr,391,4.4
774369900,Rawsome,Yüksek Proteinli Bar,329 TL,Gıda ve İçecek,Paketi Glutensiz Ve Vegan 14 Bar,31,4.7
221633119,Mim and More,Strawberry,"108,14 TL",Gıda ve İçecek,Matcha - Çilekli Matcha 25 gr,358,4.7
780591048,Meri Detox,Meri Tea Detoks,460 TL,Gıda ve İçecek,Çayı 60 Adet 1 Aylik Kullanim Meridetoxform,2,5.0
47457717,Elvan,My World Mix 8 Gr.,"199,90 TL",Gıda ve İçecek,100lü (1 KUTU),8022,4.5
824409209,Rawsome,Mucizevi Kurutulmuş,115 TL,Gıda ve İçecek,Aronia,0,
817886786,Lokman Hekim,Harem Macunu 260,"369,97 TL",Gıda ve İçecek,gr Ginsengli Bitkisel Pekmez Karışımlı Macun,25,4.4
804797476,Caffe Del Bello,Öğütülmüş,400 TL,Gıda ve İçecek,Taze Çekim Türk Kahvesi 1 Kg,7,4.6
750335528,I am a plant,Glutensiz,"457,39 TL",Gıda ve İçecek,Kakaolu Pirinç Patlağı Sağlıklı Atıştırmalık 482 gr,1,5.0
57640888,BEYORGANİK,Organik Muhallebi,"285,12 TL",Gıda ve İçecek,Karışımı Ve Bebek Tarhanası Paketi 2'li,22,4.6
32676437,Eti,Lifalif Bitter Çikolatalı,144 TL,Gıda ve İçecek,Yulaf Bar 35 g x 12 Adet,761,4.8
466453791,Hilay,Sürülebilir Antep,780 TL,Gıda ve İçecek,Fısıtğı Ezmesi Avantajlı Paket 2x320 Gr,4,4.2
741673151,MOGİDA,Diyet Mamül Şekersiz,"121,23 TL",Gıda ve İçecek,Atıştırmalık 1 Kutu = 12 Adet Hurmalı Mamül,389,4.7
98422725,Herby,Bitki Çayı 3'lü Diyete,"259,90 TL",Gıda ve İçecek,"Destek Form Paketi (Detox Tea, Skinny Tea, Fit Tea)",308,4.7
79346655,Kahve Dünyası,Lavi Karışık,232 TL,Gıda ve İçecek,Dolgulu Çikolata 500g,7141,4.8
834407718,muros's coffee roastery,,595 TL,Gıda ve İçecek,Espresso No:3 Orıgınal 1 Kg,1,5.0
117120996,Chado,Spearmınt Tea,240 TL,Gıda ve İçecek,,878,4.5
332521747,BEYORGANİK,Organik Bey Öz Ve,361 TL,Gıda ve İçecek,Bey Tonik 2'li Kış Kiti,7173,4.6
3510300,Nescafe,Gold Yumuşak Içim 200,"164,68 TL",Gıda ve İçecek,gr,697,4.7
742686203,STAYFİT,90 Günlük Bromelain,799 TL,Gıda ve İçecek,Ekstreli Detox Tea 560 gr,23,4.6
816065291,FreshBelle,Kilo Vermeye,317 TL,Gıda ve İçecek,Yardımcı Zayıflama1 Detoks Çayı 3 Kutu 45 Günlük Kullanım,516,5.0
151430407,Anisah Coffee,Aromalı Filtre,"399,90 TL",Gıda ve İçecek,Kahve Set 3 X 250 Gram Fındık Vaniya Karamel,461,4.5
796175165,Zühre Ana,Alıç Sirkesi Doğal,218 TL,Gıda ve İçecek,Fermantasyon Hawthorn Vinegar 500 Ml,393,4.8
708185180,Proori,Organik Yıllanmış Elma,219 TL,Gıda ve İçecek,Sirkesi Içilebilir Doğal Fermantasyon 500 ml 2'li Detox Paket (1000 ML),381,4.7
312703723,FİTGREEN,Detox Çayı 1 Kutu,132 TL,Gıda ve İçecek,Zayıflama Kilo Vermeye Yardımcı,1191,4.8
121205230,TEA CO,La Isla Bonıta -,"207,47 TL",Gıda ve İçecek,Gojiberryli Yeşil Çay Müslin Çay Poşeti,169,4.7
131729074,Wefood,Badem Sütü Konsantresi,"238,88 TL",Gıda ve İçecek,"(Şekersiz, %100 Badem) 240 gr",1436,4.6
38807487,Anisah Coffee,Türk Kahvesi,"119,90 TL",Gıda ve İçecek,100 gr 3'lü paket,177,4.6
3674878,Kahve Dünyası,Espresso,"435,03 TL",Gıda ve İçecek,Çekirdek 1 kg,1826,4.7
680327917,DELAPAU,Türk Kahvesi Premium,185 TL,Gıda ve İçecek,Taze Öğütülmüş Bol Köpüklü Özel Silindir Kutu 250 gr,121,4.5
311004287,Elvan,Fondante Caramel Toffee,"56,57 TL",Gıda ve İçecek,200 Gr. (1 Adet),4134,4.6
802023528,GiggleLand,Meyve Barı -,"154,90 TL",Gıda ve İçecek,Tanışma Paketi 7 adet x 20 g.,67,4.8
79488904,Elvan,Nuss Cubes Fındıklı 7,"76,20 TL",Gıda ve İçecek,Gr. 48 Adet (1 KUTU),7740,4.3
695630162,FOLLOW REKLAM,Echer Form,600 TL,Gıda ve İçecek,Kahve Orjinal- ( Kahverengi Şase 30’lu),7,4.6
42457592,Matcha Premium Japanese,,215 TL,Gıda ve İçecek,Premium Japanese Toz Çilek Aromalı Çayı 20 X 10 G Premium Şase Orijinal Tozu,287,4.3
154805609,Soul Kitchen Organik Ürünler,,"159,50 TL",Gıda ve İçecek,Organik Bebek Üzüm Pekmezi 380gr (SOĞUK SIKIM) (ŞEKER İLAVESİZ),725,4.8
787674640,FoodNut,%100 Şekersiz Sporcu,185 TL,Gıda ve İçecek,Dostu Fıstık Ezmesi 1 Kg Şekersiz Yer Fıstığı Ezmesi Proteini Yüksek.,289,4.7
774649420,KARNA LİFE,Alıç Sirkesi -,198 TL,Gıda ve İçecek,Doğal Fermantasyon 500 ml,8,5.0
801209450,Züber,Fındık Kreması + %100,"349,90 TL",Gıda ve İçecek,Fıstık Ezmesi,412,4.8
315799710,Meri Detox,Meri Detoks Kapsül,400 TL,Gıda ve İçecek,Aylık Kullanım Detox Kapsül,9,5.0
111619981,Moliendo,Breakfast Blend,182 TL,Gıda ve İçecek,Filtre Kahve (ÖĞÜTÜLMÜŞ FİLTRE KAHVE) 250 G,907,4.8
286191708,Herby,Detox Tea Kayısılı,"89,90 TL",Gıda ve İçecek,Diyete Destek Detoks Bitki Çayı,223,4.8
784189749,TuNa Chocolate,Tuna Çikolata,"199,99 TL",Gıda ve İçecek,Altın Sargılı Sütlü Madlen 72 Adet Ikramlık Çikolata,346,4.4
452474297,Lotus,Bıscoff Sürülebilir,"159,90 TL",Gıda ve İçecek,Spread Crunchy 380 Gr.,7,5.0
345725760,PLANTERO,3'lü Badem Sütü Bazı,740 TL,Gıda ve İçecek,"Konsantre Bitkisel Süt (250GR, %100 BADEM, ŞEKERSİZ)",90,4.8
803715248,Tuğba Kuruyemiş,PARÇACIKLI,263 TL,Gıda ve İçecek,ANTEP FISTIĞI EZMESİ 250 GR,208,4.4
807287538,keyifçe,Antep Fıstık ezmesi,"16,90 TL",Gıda ve İçecek,(25gr),55,4.6
634656233,Organik Teyze,Sevinç Teyze,"249,99 TL",Gıda ve İçecek,"Doğal Fermantasyon Ananas Sirkesi, Pineapple Vinegar 500 Ml.",171,4.9
260176791,Mim and More,Vanilla Matcha -,"106,81 TL",Gıda ve İçecek,Vanilyalı Matcha 25 gr,867,4.7
820513171,FROPİE,Yer Fıstığı Ezmesi -,"297,33 TL",Gıda ve İçecek,100% Yer Fıstığı 315 gr x 2 Adet,0,
670996326,BEYORGANİK,Organik Bey Tonik,"543,20 TL",Gıda ve İçecek,/ Bey Mor Mix / Bey Öz Mix Grubu 3*lü,327,4.7
830073517,IRON COFFEE,GENEL MERKEZ IRON,580 TL,Gıda ve İçecek,COFFE,2,
86974834,Hayfene,Kahvaltılık Zahter,"112,10 TL",Gıda ve İçecek,Türkiye 140 G,256,4.7
382043726,my fit,Myfit Coffee Kahvesi,450 TL,Gıda ve İçecek,,235,4.3
34572767,Wefood,Organik Keçiboynuzu,73 TL,Gıda ve İçecek,Unu 250 gr,1321,4.8
98905706,Tuğba Kuruyemiş,Mirvari,"111,50 TL",Gıda ve İçecek,Kahvesi 220 Gr,10127,4.8
816606942,Caffe Del Bello,Nikaragua,400 TL,Gıda ve İçecek,Filtre Kahve 1 Kg (Çekirdek veya Öğütülmüş),3,5.0
461196830,zadelife,Kızılcık Özü 700 gr,204 TL,Gıda ve İçecek,,950,4.8
834595214,Asil,AsilCoffee Türk Kahvesi,599 TL,Gıda ve İçecek,1 Kg,0,
34072832,Callei,Sütlü Şişe Waffle,"179,99 TL",Gıda ve İçecek,Çikolatası 1000gr,536,4.6
38924137,Kalaycıoğlu,Harnup,150 TL,Gıda ve İçecek,Keçiboynuzu Pekmezi 950 gr,219,4.7
759260827,Zühre Ana,Keçiboynuzu Özü 350,"189,90 TL",Gıda ve İçecek,Gr,3184,4.7
828680391,Bahar Kids,Kilo-aldırıcı,"279,17 TL",Gıda ve İçecek,Iştah Açıcı Protein Besin Destekleyici Muz Ve Kakao Aromalı Kilo Aldıran,42,5.0
826600272,FARMANOW,Moringaforte,540 TL,Gıda ve İçecek,Prebiyotik Toz Karışım 2 kutu,130,5.0
247954686,Organik Teyze,Sevinç Teyze,"99,99 TL",Gıda ve İçecek,"Ayvadana, Civan Perçemi, Kandil Çiçeği, Achillea, Millefolium 30g",106,4.9
694961344,Narcissa,2 Adet - Aserola,689 TL,Gıda ve İçecek,Ekstresi Içeren Karışık Bitki Tozu,3964,4.2
634657618,Organik Teyze,Sevinç Teyze,"259,99 TL",Gıda ve İçecek,"Doğal Fermantasyon Enginar Sirkesi, Artichoke Vinegar 500 Ml.",207,4.8
108532326,GLUTENSİZ FABRİKA,Karabuğday,"75,19 TL",Gıda ve İçecek,Patlağı (2 PAKET) 176 gr Sağlıklı Atıştırmalık Şekersiz Tuzsuz Katkısız Ve Doğal,1981,4.7
330158761,PLANTERO,Badem Sütü Bazı,310 TL,Gıda ve İçecek,"Konsantre Bitkisel Süt (250GR, %100 BADEM, ŞEKERSİZ)",221,4.7
332019401,BEYORGANİK,Organik Bey Öz,210 TL,Gıda ve İçecek,Miks 260gr,2550,4.7
830694397,Nutriful,İbni Sina,559 TL,Gıda ve İçecek,Sirkengebin Prebiyotik Detox Sirkesi 3'LÜ FIRSAT PAKETİ,5,
154812530,Soul Kitchen Organik Ürünler,,"157,50 TL",Gıda ve İçecek,Organik Bebek Dut Özü 315gr (SOĞUK SIKIM) (ŞEKER İLAVESİZ),176,4.8
749819268,Moliendo,Caffè Crema (,"484,03 TL",Gıda ve İçecek,Çekirdek Kahve ) 1000 G.,351,4.7
732699326,Muwest Naturel,Kilo Vermeye,288 TL,Gıda ve İçecek,Yardımcı Detoks çayı detox Tea,622,
736377736,Elvan,Madlen Special 160 Gr.,"57,99 TL",Gıda ve İçecek,(1 KUTU),632,
154812506,Soul Kitchen Organik Ürünler,,"141,50 TL",Gıda ve İçecek,Organik Tam Yulaf Unu 500gr,247,4.8
811167837,Sehine,"Detox Hindiba Kahvesi,",219 TL,Gıda ve İçecek,"Zayıflama, Kilo Vermeye Yardımcı, Diyet Form Kahve (60 KULLANIM) 150gr",222,5.0
174835052,FIORELLA,La Truffa Bitter 200,"73,33 TL",Gıda ve İçecek,Gr. (1 Paket),5135,4.6
781973204,Morizer,Macha'lı Bitkisel Çay,400 TL,Gıda ve İçecek,300 gr. 45 Günlük- Karışık Bitki Tozu,22,5.0
161535739,Elvan,Lady Bird 8 Gr. 100 Lü,"168,19 TL",Gıda ve İçecek,(1 Kutu),5031,4.6
32969076,Wefood,Fındık Unu 250 gr,216 TL,Gıda ve İçecek,,175,4.7
743586474,Kinder,Joy Harry Potter,"113,25 TL",Gıda ve İçecek,Limited Edition 20 g,195,4.1
810064425,Harar,Hindiba Kahvesi,324 TL,Gıda ve İçecek,Kolajenli Detox Zayıflama Kilo Verme Diyet Kahve 1 Aylık - (60 KULLANİM) 150gr,204,4.8
3674864,Kahve Dünyası,Orta Kavrulmuş,108 TL,Gıda ve İçecek,Türk Kahvesi 100 gr 3'lü Paket,2601,4.7
67674349,QUOKA,Glutensiz Şekersiz,"124,90 TL",Gıda ve İçecek,Karabuğday Unundan Vegan Tahinli Kurabiye 1 Paket X 80gr,28,4.7
788718507,KONAK,HANIMEFENDİ Antep,159 TL,Gıda ve İçecek,Fıstık Parçacıklı & Dolgulu Sütlü Çikolata 300 Gr,464,4.8
157946914,Soul Kitchen Organik Ürünler,,"163,50 TL",Gıda ve İçecek,Organik Elma Suyu Konsantresi 300gr,76,4.6
124034180,Tiryaki Şifa Bahçesi,Prs,300 TL,Gıda ve İçecek,Ballı Karışık Bitkisel Macun 420 gr,57,4.1
736069016,KONAK,Hanımefendi Fındık,389 TL,Gıda ve İçecek,Parçacıklı & Dolgulu Sütlü Çikolata 1000 gr,270,4.9
816963501,Vitaljoy,Protein Pankek &,289 TL,Gıda ve İçecek,"Waffle Karışımı (300 G) - 5 Porsiyon, Her Porsiyon 25g Protein, %100 Tam Tahıl",29,5.0
686770211,H&K Beauty,Kilo Aldırıcı,285 TL,Gıda ve İçecek,Iştah Açıcı (çikolata Aromalı Toz ),1608,4.7
194140633,Genel Markalar,Heynut,160 TL,Gıda ve İçecek,Parçacıklı Fıstık Ezmesi 700g,252,4.7
